,consumo electrico,fecha,Cierre,Vader_iecon,Vader_gimnasio,ICC,Tendencia prevista ICC,Situación económica de los hogares,IC comercio minorista,DG ECFIN Business and Consumer Survey,Vader_running,Vader_fitness,Vader_deporte,Vader_trabajo,Vader_salbien,Vader_salud,Vader_salbe,Afiliacion,Vader_recon1,Vader_seguro,BlobText_seguro,reconocimiento medico,revision medica,seguro medico,cobertura medica,salud
18,732958.579,2019-01-28,9062.400390625,0.0,0.09006666666666667,-6.0,-5.6,3.1,7.2,-7.0,-0.05049065311723749,0.064765,-0.0652,-0.14924999999999994,0.0,0.045313043478260866,0.4696,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,66.0
19,732958.579,2019-01-29,9119.099609375,0.0,0.09006666666666667,-6.0,-5.6,3.1,7.2,-7.0,-0.05049065311723749,0.064765,-0.0652,-0.14924999999999994,0.0,0.045313043478260866,0.4696,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,66.0
20,732958.579,2019-01-30,9071.5,0.0,0.09006666666666667,-6.0,-5.6,3.1,7.2,-7.0,-0.05049065311723749,0.064765,-0.0652,-0.14924999999999994,0.0,0.045313043478260866,0.4696,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,66.0
21,732958.579,2019-01-31,9056.7001953125,-0.13758461538461536,-0.0592,-5.7,-4.0,4.3,5.9,-7.0,0.2125521471318169,0.13089411764705886,0.009510526315789473,-0.14924999999999994,-0.008666666666666656,0.02586666666666668,0.4696,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,66.0
22,732958.579,2019-02-01,9019.400390625,-0.106675,0.19667500000000004,-5.7,-4.0,4.3,5.9,-7.0,0.35167943168325605,0.028016666666666683,0.12799999999999995,-0.14924999999999994,0.1116,0.041875,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
23,732958.579,2019-02-02,8975.2001953125,-0.0592,0.21591428571428573,-5.7,-4.0,4.3,5.9,-7.0,0.2248501471522056,0.10594444444444444,-0.01864736842105263,-0.14924999999999994,0.0,0.1061086956521739,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
24,732958.579,2019-02-03,8975.2001953125,0.0251,0.3318666666666667,-5.7,-4.0,4.3,5.9,-7.0,0.15693685241356328,0.01504285714285714,0.03692222222222222,-0.14924999999999994,-0.29600000000000004,-0.07662666666666666,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
25,732958.579,2019-02-04,8975.2001953125,-0.17556666666666665,0.24977,-5.7,-4.0,4.3,5.9,-7.0,0.16512901106173114,0.19643928571428576,0.024250000000000004,-0.14924999999999994,-0.07400000000000001,-0.06374500000000001,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
26,732958.579,2019-02-05,9092.0,-0.0592,0.2825333333333333,-5.7,-4.0,4.3,5.9,-7.0,0.11123803040198883,0.13237419354838711,-0.0492090909090909,-0.14924999999999994,0.0,0.00416666666666667,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
27,732958.579,2019-02-06,9100.900390625,-0.045666666666666654,0.09242999999999997,-5.7,-4.0,4.3,5.9,-7.0,0.11164395129313333,0.07490000000000001,0.004029411764705886,-0.14924999999999994,0.0,0.042270588235294115,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
28,732958.579,2019-02-07,8938.2998046875,0.028333333333333332,0.08556,-5.7,-4.0,4.3,5.9,-7.0,0.16582004986894755,0.07045652173913043,-0.09419565217391304,-0.14924999999999994,0.148775,0.013400000000000004,0.063,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
29,732958.579,2019-02-08,8856.7998046875,0.0,-0.05525,-5.7,-4.0,4.3,5.9,-7.0,0.17337372885038307,0.19475555555555554,-0.11093529411764703,-0.14924999999999994,-0.5574,0.049741379310344835,0.063,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
30,732958.579,2019-02-09,8936.400390625,-0.07400000000000001,0.3311000000000001,-5.7,-4.0,4.3,5.9,-7.0,0.34306840292487484,0.05859,0.011409090909090909,-0.14924999999999994,0.018000000000000002,0.07930624999999998,0.063,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
31,732958.579,2019-02-10,8936.400390625,-0.21335,0.0539375,-5.7,-4.0,4.3,5.9,-7.0,0.18808180248063008,0.08573809523809525,0.04108947368421053,-0.14924999999999994,0.0,0.07394444444444444,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
32,732958.579,2019-02-11,8936.400390625,0.0,0.15141,-5.7,-4.0,4.3,5.9,-7.0,0.028496895330348687,0.2337913043478261,-0.14994615384615384,-0.14924999999999994,0.0,-0.079205,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
33,732958.579,2019-02-12,8983.099609375,-0.026499999999999992,0.1252125,-5.7,-4.0,4.3,5.9,-7.0,0.3964046851591783,0.1253655172413793,-0.06767499999999999,-0.14924999999999994,-0.118825,0.005148275862068965,0.2264,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
34,732958.579,2019-02-13,8982.400390625,0.0,0.16254117647058822,-5.7,-4.0,4.3,5.9,-7.0,0.2139609338604197,0.1295304347826087,-0.05860588235294116,-0.14924999999999994,0.15955999999999998,0.0959757575757576,0.2264,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
35,732958.579,2019-02-14,8952.5,0.03777777777777778,0.12168,-5.7,-4.0,4.3,5.9,-7.0,0.3033477180471763,0.23084827586206905,0.029057894736842105,-0.14924999999999994,0.09702857142857144,0.03876486486486487,0.2264,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
36,732958.579,2019-02-15,9123.2001953125,0.1405,0.15125714285714284,-5.7,-4.0,4.3,5.9,-7.0,0.25046750592450423,0.15924333333333335,-0.052300000000000006,-0.14924999999999994,0.0,-0.038933333333333334,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
37,732958.579,2019-02-16,9155.5,0.0,0.25560000000000005,-5.7,-4.0,4.3,5.9,-7.0,0.22794428749686585,0.168225,0.015959259259259263,-0.14924999999999994,0.0,-0.011294117647058824,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
38,732958.579,2019-02-17,9155.5,-0.059183333333333324,0.05835,-5.7,-4.0,4.3,5.9,-7.0,0.2901093350271479,0.08498095238095238,-0.008647619047619045,-0.14924999999999994,0.0,0.055904545454545464,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
39,732958.579,2019-02-18,9155.5,0.007333333333333341,0.041819999999999996,-5.7,-4.0,4.3,5.9,-7.0,0.19998516621280812,0.12713214285714286,0.007969230769230768,-0.14924999999999994,-0.04933333333333333,-0.00301463414634146,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
40,732958.579,2019-02-19,9136.400390625,-0.23911666666666664,0.14413571428571428,-5.7,-4.0,4.3,5.9,-7.0,0.2046961774460943,0.1472926829268293,-0.012075862068965515,-0.14924999999999994,0.0,0.05611176470588235,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
